mjd,mag,magerr,filter
1337.454224,16.136047,0.018520,1
1337.474976,16.136253,0.018603,1
1337.495850,16.137272,0.018601,1
1337.516724,16.133993,0.018553,1
1337.537476,16.132284,0.018537,1
1337.558350,16.133692,0.018546,1
1337.579224,16.134512,0.018585,1
1337.599976,16.129383,0.018459,1
1337.620850,16.129827,0.018437,1
1337.641724,16.131056,0.018475,1
1337.662476,16.128647,0.018447,1
1337.683350,16.127043,0.018443,1
1337.704224,16.122723,0.018388,1
1337.724976,16.125710,0.018340,1
1337.745850,16.122913,0.018317,1
1337.766724,16.117136,0.018290,1
1337.787476,16.122440,0.018340,1
1337.808350,16.122929,0.018377,1
1337.829224,16.121569,0.018396,1
1337.849976,16.112717,0.019602,1
1337.870850,16.123549,0.018382,1
1337.891724,16.120268,0.018285,1
1337.912476,16.121767,0.018352,1
1337.933350,16.119864,0.018289,1
1337.954224,16.120853,0.018358,1
1337.974976,16.121820,0.018361,1
1337.995850,16.121574,0.018312,1
1338.016724,16.121773,0.018399,1
1338.037476,16.130589,0.018515,1
1338.058350,16.133732,0.018515,1
1338.079224,16.134834,0.018525,1
1338.099976,16.130690,0.018504,1
1338.120850,16.129932,0.018425,1
1338.141724,16.119854,0.018293,1
1338.162476,16.121471,0.018365,1
1338.183350,16.118864,0.018314,1
1338.204224,16.120667,0.018325,1
1338.224976,16.120651,0.018374,1
1338.245850,16.119310,0.018307,1
1338.266724,16.120529,0.018274,1
1338.287476,16.116484,0.018295,1
1338.308350,16.118971,0.018230,1
1338.329224,16.118750,0.018247,1
1338.349976,16.116884,0.018236,1
1338.370850,16.120701,0.018316,1
1338.391724,16.119871,0.018263,1
1338.412476,16.120129,0.018322,1
1338.433350,16.117779,0.018307,1
1338.454224,16.118961,0.018345,1
1338.474976,16.114872,0.018309,1
1338.495850,16.121058,0.018357,1
1338.516724,16.123148,0.018404,1
1339.683350,16.132982,0.018712,1
1339.704224,16.136164,0.018648,1
1339.724976,16.132010,0.018597,1
1339.745850,16.131536,0.018527,1
1339.766724,16.124828,0.018424,1
1339.787476,16.119148,0.018337,1
1339.808350,16.119297,0.018427,1
1339.829224,16.118277,0.018302,1
1339.849976,16.116915,0.018360,1
1339.870850,16.116978,0.018329,1
1339.891724,16.118065,0.018357,1
1339.912476,16.117273,0.018256,1
1339.933350,16.117460,0.018347,1
1339.954224,16.113325,0.018369,1
1339.974976,16.118668,0.018388,1
1339.995850,16.118612,0.018388,1
1340.016724,16.117104,0.018361,1
1340.037476,16.114201,0.018337,1
1340.058350,16.115374,0.018451,1
1340.079224,16.120047,0.018367,1
1340.099976,16.118206,0.018408,1
1340.120850,16.120148,0.018402,1
1340.141724,16.117434,0.018419,1
1340.162476,16.120914,0.018500,1
1340.183350,16.121532,0.018526,1
1340.204224,16.119673,0.018455,1
1340.224976,16.125097,0.018490,1
1340.245850,16.124428,0.018387,1
1340.266724,16.123085,0.018391,1
1340.287476,16.123400,0.018632,1
1340.308350,16.123566,0.018525,1
1340.329224,16.128424,0.018543,1
1340.349976,16.128071,0.018587,1
1340.370850,16.131105,0.018675,1
1340.391724,16.132343,0.018582,1
1340.412476,16.133226,0.018703,1
1340.433350,16.131472,0.018720,1
1340.454224,16.132294,0.018752,1
1340.474976,16.167173,0.019164,1
1340.495850,16.220997,0.020257,1
1340.516724,16.242599,0.020604,1
1340.537476,16.247299,0.020746,1
1340.558350,16.235172,0.020560,1
1340.579224,16.179901,0.019535,1
1340.599976,16.140072,0.018859,1
1340.620850,16.136925,0.018822,1
1340.641724,16.137781,0.018884,1
1340.662476,16.134296,0.018628,1
1340.683350,16.133850,0.018724,1
1340.704224,16.133404,0.018787,1
1340.724976,16.131866,0.018647,1
1340.745850,16.131653,0.018767,1
1340.766724,16.132780,0.018609,1
1340.787598,16.126585,0.018648,1
1340.808350,16.128988,0.018662,1
1340.829224,16.127337,0.018659,1
1340.850098,16.123981,0.018482,1
1340.870850,16.126696,0.018660,1
1340.891724,16.123400,0.018649,1
1340.912598,16.121063,0.018576,1
1340.933350,16.122408,0.018643,1
1340.954224,16.121336,0.018557,1
1340.975098,16.120480,0.018507,1
1340.995850,16.121153,0.018548,1
1341.016724,16.123085,0.018604,1
1341.037598,16.120953,0.018570,1
1341.058350,16.121225,0.018330,1
1341.079224,16.119566,0.018439,1
1341.100098,16.119902,0.018570,1
1341.120850,16.121481,0.018466,1
1341.141724,16.121389,0.018426,1
1341.162598,16.116793,0.018331,1
1341.183350,16.116201,0.018312,1
1341.204224,16.120052,0.018552,1
1341.225098,16.118608,0.018510,1
1341.245850,16.119055,0.018522,1
1341.266724,16.120073,0.018482,1
1341.287598,16.120344,0.018491,1
1341.308350,16.133036,0.018760,1
1341.329224,16.131285,0.018702,1
1341.350098,16.133181,0.018664,1
1341.370850,16.133095,0.018773,1
1341.391724,16.128458,0.018682,1
1341.412598,16.118374,0.018407,1
1341.433350,16.117500,0.018419,1
1341.454224,16.120569,0.018552,1
1341.475098,16.121805,0.018537,1
1341.495850,16.118658,0.018537,1
1341.516724,16.115608,0.018448,1
1341.537598,16.111128,0.018424,1
1341.558350,16.116171,0.018381,1
1341.579224,16.115461,0.018391,1
1341.600098,16.118233,0.018424,1
1341.620850,16.119095,0.018449,1
1341.641724,16.113171,0.018462,1
1341.662598,16.120819,0.018520,1
1341.683350,16.120344,0.018359,1
1341.704224,16.120497,0.018461,1
1341.725098,16.119274,0.018513,1
1341.745850,16.119612,0.018494,1
1341.766724,16.120520,0.018549,1
1341.787598,16.120884,0.018464,1
1341.808350,16.119291,0.018406,1
1341.829224,16.122353,0.018362,1
1341.850098,16.124983,0.018582,1
1341.870850,16.126783,0.018625,1
1341.891724,16.127632,0.018618,1
1341.912598,16.130327,0.018600,1
1341.933350,16.127325,0.018502,1
1341.954224,16.126959,0.018515,1
1341.975098,16.129391,0.018715,1
1341.995850,16.132351,0.018578,1
1342.016724,16.133987,0.018683,1
1342.037598,16.133156,0.018675,1
1342.058350,16.133463,0.018708,1
1342.079224,16.133539,0.018726,1
1342.100098,16.151033,0.019073,1
1342.120850,16.205257,0.019989,1
1342.141724,16.245958,0.020746,1
1342.162598,16.244909,0.020653,1
1342.183350,16.249500,0.024208,1
1342.204224,16.204081,0.020043,1
1342.225098,16.145699,0.018931,1
1342.245850,16.134859,0.018795,1
1342.266724,16.137211,0.018821,1
1342.287598,16.133434,0.018691,1
1342.308350,16.134050,0.018816,1
1342.329224,16.133778,0.018544,1
1342.350098,16.130730,0.018812,1
1342.370850,16.131615,0.018508,1
1342.391724,16.129883,0.018549,1
1342.412598,16.129486,0.018776,1
1342.433350,16.127731,0.018615,1
1342.454224,16.128286,0.018592,1
1342.475098,16.128094,0.018537,1
1342.495850,16.128588,0.018660,1
1342.516724,16.124065,0.018425,1
1342.537598,16.126032,0.018528,1
1342.558350,16.125023,0.018442,1
